arm,template_id,amplitude,reducer,combiner,scalar_power,irrep_power,irrep_minus_scalar,arms_are_independent_replications
paired300,MIX_PLANAR,1.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0778125,0.2434375,0.165625,False
paired300,MIX_PLANAR,2.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.410625,0.933125,0.5225,False
paired300,MIX_PLANAR,4.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.8721875,1.0,0.1278125,False
paired300,MIX_PLANAR,8.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9928125,1.0,0.007187500000000013,False
paired300,MIX_GENERIC,0.25,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0296875,0.0625,0.0328125,False
paired300,MIX_GENERIC,0.5,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0475,0.07625,0.028749999999999998,False
paired300,MIX_GENERIC,1.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.08125,0.12,0.03874999999999999,False
paired300,MIX_GENERIC,2.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.28,0.3734375,0.09343749999999995,False
paired300,MIX_GENERIC,4.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.2684375,0.3903125,0.12187500000000001,False
paired300,MIX_GENERIC,8.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.19625,0.27,0.07375000000000001,False
cmbonly999,Q_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03985450563204005,0.047324780976220275,0.007470275344180224,False
cmbonly999,Q_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.05510794743429286,0.050571026282853565,-0.004536921151439298,False
cmbonly999,Q_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.22391270337922403,0.13063204005006257,-0.09328066332916146,False
cmbonly999,Q_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9508369837296621,0.9117255944931164,-0.03911138923654567,False
cmbonly999,Q_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,Q_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,O_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.027495306633291614,0.06073998748435545,0.03324468085106383,False
cmbonly999,O_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.028316645807259073,0.1309058197747184,0.10258917396745934,False
cmbonly999,O_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.02636107634543179,0.6388845431789737,0.6125234668335419,False
cmbonly999,O_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.04001095118898623,0.9999608886107635,0.9599499374217773,False
cmbonly999,O_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.14776282853566958,1.0,0.8522371714643304,False
cmbonly999,O_PLANAR,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.8216129536921152,1.0,0.17838704630788482,False
cmbonly999,MIX_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03469180225281602,0.05029724655819775,0.01560544430538173,False
cmbonly999,MIX_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03840738423028786,0.08659261576971214,0.04818523153942428,False
cmbonly999,MIX_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.0892130788485607,0.32509386733416773,0.23588078848560703,False
cmbonly999,MIX_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.6987640801001251,0.9867021276595744,0.2879380475594493,False
cmbonly999,MIX_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,MIX_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,MIX_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03469180225281602,0.05096214017521902,0.016270337922403004,False
cmbonly999,MIX_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03860294117647059,0.08217302878598248,0.04357008760951189,False
cmbonly999,MIX_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.08651439299123904,0.3149640175219024,0.22844962453066336,False
cmbonly999,MIX_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.6950093867334167,0.9829474342928661,0.2879380475594494,False
cmbonly999,MIX_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9999608886107635,1.0,3.911138923651247e-05,False
